Job Title,Company,Experience,Location
Data Scientist - Python/Machine Learning,Jubna,5-8 Yrs,Noida
Tech Mahindra hiring For Data Scientist- Noida,tech mahindra ltd,5-10 Yrs,Noida
Data Scientist - Commercial Planning and Analysis,Air Asia India Limited,1-6 Yrs,"Delhi NCR, Gurgaon"
Data Scientist - Machine Learning/ Artificial Intelligence - IT ,Talent Acceleration Corridor,6-11 Yrs,"Delhi/NCR Delhi NCR, Noida"
GCP Skilled Analytics Resources (Data engineer / Data scientists),Aerial Telecom Solutions Pvt. Ltd.,3-8 Yrs,"Pune, Bengaluru, Gurgaon"
Data Scientist,IBM India Pvt. Limited,3-5 Yrs,Gurgaon Gurugram
Data Scientist Machine Learning,Delhivery,1-3 Yrs,Gurgaon
Data Scientist,Eighteen Pixels India Private Limited,2-6 Yrs,Delhi NCR
Business Analyst - Data Scientist,HyreFox Consultants Pvt Ltd,3-5 Yrs,Gurgaon
Analyst - Data Scientist,HyreFox Consultants Pvt Ltd,1-3 Yrs,Gurgaon
